ISO.Afghanistan,!,DHS.Armenia,deduced
ISO.Afghanistan,<,DHS.Asia,deduced
ISO.Afghanistan,!,DHS.Azerbaijan,deduced
ISO.Afghanistan,!,DHS.Bahrain,deduced
ISO.Afghanistan,!,DHS.Bangladesh,deduced
ISO.Afghanistan,!,DHS.Bhutan,deduced
ISO.Afghanistan,!,DHS.Brunei,deduced
ISO.Afghanistan,!,DHS.Burma,deduced
ISO.Afghanistan,!,DHS.Cambodia,deduced
ISO.Afghanistan,!,DHS.China,deduced
ISO.Afghanistan,!,DHS.Cyprus,deduced
ISO.Afghanistan,!,DHS.EastTimor,deduced
ISO.Afghanistan,!,DHS.Georgia,deduced
ISO.Afghanistan,!,DHS.HongKong,deduced
ISO.Afghanistan,!,DHS.India,deduced
ISO.Afghanistan,!,DHS.Indonesia,deduced
ISO.Afghanistan,!,DHS.Iran,deduced
ISO.Afghanistan,!,DHS.Iraq,deduced
ISO.Afghanistan,!,DHS.Israel,deduced
ISO.Afghanistan,!,DHS.Japan,deduced
ISO.Afghanistan,!,DHS.Jordan,deduced
ISO.Afghanistan,!,DHS.KazakDHStan,deduced
ISO.Afghanistan,!,DHS.Kuwait,deduced
ISO.Afghanistan,!,DHS.Kyrgyzstan,deduced
ISO.Afghanistan,!,DHS.Laos,deduced
ISO.Afghanistan,!,DHS.Lebanon,deduced
ISO.Afghanistan,!,DHS.Macau,deduced
ISO.Afghanistan,!,DHS.Malaysia,deduced
ISO.Afghanistan,!,DHS.Maldives,deduced
ISO.Afghanistan,!,DHS.Mongolia,deduced
ISO.Afghanistan,!,DHS.Nepal,deduced
ISO.Afghanistan,!,DHS.NorthKorea,deduced
ISO.Afghanistan,!,DHS.Oman,deduced
ISO.Afghanistan,!,DHS.Pakistan,deduced
ISO.Afghanistan,!,DHS.Philippines,deduced
ISO.Afghanistan,!,DHS.Qatar,deduced
ISO.Afghanistan,!,DHS.SaudiArabia,deduced
ISO.Afghanistan,!,DHS.Singapore,deduced
ISO.Afghanistan,!,DHS.SouthKorea,deduced
ISO.Afghanistan,!,DHS.SriLanka,deduced
ISO.Afghanistan,!,DHS.Taiwan,deduced
ISO.Afghanistan,!,DHS.Tajikistan,deduced
ISO.Afghanistan,!,DHS.Thailand,deduced
